Index,Word,log freq,nr. of tokens,tokens,word score
411,excavator,7.273092595999522,3,exc_av_ator,-19.72544860839844
412,executive,9.390409393716844,2,exec_utive,-15.29378890991211
413,exiled,7.253470382684528,2,ex_iled,-19.08582305908203
414,exited,6.386879319362645,2,ex_ited,-19.991180419921875
415,exorcist,7.688913336864796,3,ex_orc_ist,-20.0402889251709
416,expelled,7.659171367666058,2,ex_pelled,-20.56441879272461
417,experimenter,7.761319180947987,3,exper_iment_er,-17.289222717285156
418,expert,10.18930538837816,2,ex_pert,-15.825721740722656
419,expression,10.319067994385383,1,expression,-14.915618896484377
420,exterminator,7.303843225277705,3,ex_termin_ator,-20.106616973876957
421,extolled,6.738152494595957,3,ext_oll_ed,-23.58098602294922
422,extortionist,6.70808408385307,3,ext_ortion_ist,-25.034618377685547
423,failed,9.677402178300998,1,failed,-14.165016174316406
424,fairy,9.09963224999176,2,f_airy,-16.460037231445312
425,fan,12.314029787035269,1,fan,-14.616737365722656
426,farmed,6.80903930604298,2,f_armed,-20.103458404541016
427,farmer,10.001067880874992,2,far_mer,-16.745410919189453
428,father,10.9642768174945,1,father,-15.749069213867188
429,faucet,7.515889085215125,3,f_auc_et,-18.793136596679688
430,favored,8.16223106548118,2,f_avored,-19.86058807373047
431,feared,7.96311205897929,2,f_eared,-20.20415496826172
432,fed,11.040903800861177,1,fed,-14.923561096191406
433,fedora,6.86171134048073,2,fed_ora,-15.69593620300293
434,felled,6.616065185132817,2,f_elled,-22.687664031982425
435,felon,9.514215624322716,3,f_el_on,-21.05236053466797
436,fieldworker,6.35088571671474,2,field_worker,-23.797199249267575
437,fighter,8.239065331769268,1,fighter,-16.720748901367188
438,filed,9.21602418844448,2,f_iled,-16.597572326660156
439,filet,8.51959031601596,2,file_t,-20.657135009765625
440,filmmaker,6.418364935936212,3,fil_mm_aker,-17.6265869140625
441,financier,8.440312147080279,3,fin_anc_ier,-20.57630157470703
442,finished,8.68929604801586,1,finished,-15.684806823730469
443,fired,8.939843124278502,1,fired,-15.607948303222656
