word,nr. of tokens,tokens,word score
loner,2,l_oner,-21.091912269592285
lord,1,lord,-18.42783546447754
lost,1,lost,-16.891122817993164
loudmouth,3,l_oud_mouth,-30.540327072143555
loved,2,l_oved,-23.404964447021484
loyalist,3,l_oyal_ist,-29.029104232788086
luggage,2,l_uggage,-25.02532386779785
lunatic,3,l_un_atic,-30.379384994506836
lyricist,3,ly_ric_ist,-29.262182235717773
made,1,made,-17.159679412841797
maestro,2,ma_estro,-28.879204750061035
magician,2,mag_ician,-27.07711696624756
maid,1,maid,-19.01984405517578
maiden,2,m_aiden,-22.752373695373535
mailman,2,mail_man,-21.464204788208008
main,1,main,-18.027111053466797
man,1,man,-12.607662200927734
manager,1,manager,-17.79031753540039
maneuvered,3,man_eu_vered,-37.263078689575195
maniac,2,man_iac,-24.222442626953125
manicurist,4,man_ic_ur_ist,-33.09280776977539
manservant,3,mans_erv_ant,-32.77256441116333
manufacturer,2,manufact_urer,-22.325993537902832
manuscript,2,man_uscript,-22.769028663635254
mapmaker,2,map_maker,-22.73539924621582
marauder,3,m_ara_uder,-29.810850143432617
marcher,2,mar_cher,-21.33093547821045
marine,1,marine,-16.86592674255371
mariner,2,mar_iner,-24.36313247680664
marketer,2,mark_eter,-22.567251205444336
marmalade,4,m_arm_al_ade,-33.24709224700928
married,1,married,-17.49470329284668
